Brand,Body,Model,Year,Base Price,Horsepower,Torque,Acceleration time,Braking Distance,Road Holding (lateral acceleration),Fuel Economy,Fuel Economy,Fuel Economy,Fuel Economy,Fuel Economy,Fuel Economy,image,details
Units,,,,,hp @ rpm,lb-ft @ rpm,Zero to 60 mph (s),70-0 mph (ft),300-ft-dia skidpad: ,EPA combined (mpg),city (mpg),highway (mpg),Combined (L/100km),City (L/100km),Highway (L/100km),,
Subaru ,Sedan,Impreza,2017,19995,152 hp @ 6000 rpm,145 lb-ft @ 4000 rpm,8.4,170 ft,0.82 g,26,23,31,10.87,12.28,9.11,http://st.motortrend.ca/uploads/sites/10/2017/03/2017-Subaru-Impreza-Sport-hatchback-front-three-quarter-02.jpg,https://www.subaru.ca/WebPage.aspx?WebSiteID=282&WebPageID=21688&Range=Impreza&ModelYear=2018
Fiat ,Hatchback,500,2018,16245,101 @ 6500,98 @ 4000,9.7,131 ft (60-0 mph),0.85 g (avg) (no skidpad data),24,31,38,11.77,9.11,7.43,https://medias.fcacanada.ca//specs/fiat/500/year-2017/media/images/colorizer/2018-fiat-500-colourizer-pwh_7d1d1ae2d689877530f56ea9bd48e2e6-desktop.png,https://www.fiatcanada.com/en/500
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Hyundai ,Hatchback,Santa Fe ,2018,28599,290 hp @ 6400 rpm,252 lb-ft @ 5200 rpm,7.3,178 ft,0.78 g,21,18,25,13.45,15.69,11.30,http://wpmedia.driving.ca/2018/02/2019-hyundai-santa-fe-1.jpg?quality=99&strip=all&w=960&h=480&crop=1,https://www.hyundaicanada.com/en/showroom/2018/santa-fe-sport
Ford ,Hatchback,Escape,2017,26199,245 hp @ 5500 rpm,275 lb-ft @ 3000 rpm,7.1,184 ft,0.85 g,25,21,29,11.30,13.45,9.74,http://st.motortrend.ca/uploads/sites/10/2016/06/2017-ford-escape-titanium-suv-angular-front.png,https://www.ford.ca/suvs-crossovers/escape/?searchid=71700000010164451
Kia ,Hatchback,Sportage,2017,25095,237 hp @ 6000 rpm,260 lb-ft @ 1450 rpm,6.9,174 ft,0.83 g,21,20,23,13.45,14.13,12.28,https://cdn.images.express.co.uk/img/dynamic/24/590x/Kia-Sportage-2017-745158.jpg,http://www.kia.ca/sportage?lang=en
Nissan ,Hatchback,Rogue,2017,26148,170 hp @ 6000 rpm,175 lb-ft @ 4400 rpm,9.1,178 ft,0.81 g,27,25,32,10.46,11.30,8.83,http://www.nissan.ca/content/dam/nissan/future-and-concept-vehicles/2017-rogue/2017-nissan-rogue.jpg,http://www.nissan.ca/en/crossovers/rogue?next=header.vehicles.postcard.vlp.image&dcp=ppn.114962390.&dcc=0.287977853.71700000009897492
Honda ,Hatchback,CRV AWD,2017,27090,190 hp @ 5600 rpm,179 lb-ft @ 2000 rpm,7.6,166 ft,0.82 g,29,27,33,9.74,10.46,8.56,https://www.honda.ca/Content/honda.ca/14c5ae14-4e1f-46a7-bad7-66b1961e3768/ModelPage_GC_Toutrotator/my18_model_highlights_desktop_01.jpg,https://www.honda.ca/crv
Toyota,Hatchback,RAV4 SE AWD,2016,27750,176 hp @ 6000 rpm,172 lb-ft @ 4100 rpm,8.4,184 ft,0.75 g,24,22,29,11.77,12.84,9.74,"https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/images/16q1/665019/2016-toyota-rav4-se-awd-test-review-car-and-driver-photo-666671-s-original.jpg?crop=1xw:1xh;center,center&resize=900:*",https://www.toyota.ca/toyota/en/vehicles/rav4/overview
,,,,,,,,,,,,,,,,,
Acura ,Sedan,csx,2011,25790,155 hp @6000 rpm,139 ft-lb @4500 rpm,8.5 (0-100 km/h = approx. 62 mph),137.795 (no starting speed given),N/A,37.17,32.47,44.14,7.6,8.7,6.4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/%2707_Acura_CSX.JPG/1024px-%2707_Acura_CSX.JPG,https://en.wikipedia.org/wiki/Acura_CSX
Smart Fortwo,Coupe,Pure,2006,16700,040 @ 4200,073 @ 1800,22.4,120 (60-0 mph),0.69 (no skidpad data),67.26,61.41,74.34,4.2,4.6,3.8,https://static.cargurus.com/images/site/2014/02/24/10/40/2006_smart_fortwo-pic-419761347588417637-1600x1200.jpeg,https://en.wikipedia.org/wiki/Smart_Fortwo
