,date,speed,engine_load,throttle,heading,roll,pitch,sys,gyro,accel,mag,magx,magy,magz,gyrx,gyry,gyrz,linaccx,linaccy,linaxxz,time,time_diff
42,1517152857.44,43.0,0.26666666666666666,0.1607843137254902,337.375,-15.1875,10.1875,0,0,0,0.0,-3.25,-40.5,-19.875,-0.036666666666699994,0.0288888888889,-0.10111111111099999,-1.35,-0.99,-0.23,55.91000008583069,4.6600000858306885
43,1517152862.09,23.0,0.3176470588235294,0.1607843137254902,357.25,-21.3125,14.5,0,0,0,0.0,1.25,-39.0,-16.75,-0.00777777777778,-0.011111111111099999,-0.023333333333299996,0.3,-0.01,0.21,60.55999994277954,4.6499998569488525
44,1517152866.72,10.0,0.34901960784313724,0.1607843137254902,1.0,-21.3125,14.375,0,0,0,0.0,0.0,-38.1875,-17.6875,0.023333333333299996,-0.004444444444439999,0.0011111111111099998,-0.21,-0.13,0.41,65.19000005722046,4.630000114440918
50,1517152894.71,20.0,0.5843137254901961,0.23529411764705882,340.625,-11.125,10.0,0,0,0,0.0,-10.375,-17.0625,-19.0,-0.12,-0.05,0.138888888889,-0.55,0.19,0.44,93.1800000667572,27.990000009536743
51,1517152899.34,38.0,0.5019607843137255,0.24313725490196078,279.0625,-10.5625,5.8125,0,0,0,0.0,-11.875,-6.5,-18.0,-0.0677777777778,0.0766666666667,-0.0033333333333300003,-0.43,-0.18,-0.33,97.80999994277954,4.629999876022339
52,1517152903.99,50.0,0.592156862745098,0.24313725490196078,272.875,-11.875,8.3125,0,0,0,0.0,-17.375,-67.5625,-26.875,0.162222222222,-0.19333333333299998,0.0011111111111099998,-1.04,0.1,0.89,102.46000003814697,4.650000095367432
53,1517152908.67,57.0,0.5803921568627451,0.23529411764705882,274.125,-12.3125,10.1875,0,0,0,0.0,-14.5625,-64.875,-28.1875,-0.0355555555556,-0.0211111111111,-0.0377777777778,-0.53,0.56,-0.17,107.14000010490417,4.680000066757202
54,1517152913.33,61.0,0.6352941176470588,0.23137254901960785,274.6875,-11.9375,10.6875,0,0,0,0.0,-14.5,-64.6875,-29.1875,0.06444444444439999,-0.0744444444444,0.0144444444444,-1.14,0.08,0.04,111.79999995231628,4.659999847412109
55,1517152917.99,62.0,0.5843137254901961,0.23921568627450981,274.5625,-13.625,11.75,0,0,0,0.0,-17.5625,-65.0625,-29.75,0.04,0.0166666666667,0.023333333333299996,-0.58,0.16,-0.62,116.46000003814697,4.6600000858306885
56,1517152922.63,63.0,0.5607843137254902,0.23529411764705882,274.875,-14.375,12.1875,0,0,0,0.0,-14.75,-63.0,-29.875,-0.026666666666700003,0.013333333333299998,0.0033333333333300003,-0.08,0.72,-0.33,121.10000014305115,4.640000104904175
57,1517152927.27,65.0,0.5372549019607843,0.23137254901960785,273.9375,-14.8125,12.3125,0,0,0,0.0,-14.6875,-63.0,-30.5,0.004444444444439999,-0.0011111111111099998,0.011111111111099999,-0.02,0.09,-0.19,125.74000000953674,4.639999866485596
58,1517152931.93,68.0,0.4666666666666667,0.23529411764705882,271.9375,-15.25,12.6875,0,0,0,0.0,-13.875,-60.5625,-30.0,-0.303333333333,0.005555555555560001,-0.13,0.31,-1.37,-0.85,130.40000009536743,4.6600000858306885
59,1517152936.56,68.0,0.5529411764705883,0.20784313725490197,270.625,-15.625,12.875,0,0,0,0.0,-14.0,-58.0625,-30.6875,0.07333333333330001,-0.0011111111111099998,0.0211111111111,-0.15,0.22,0.48,135.02999997138977,4.629999876022339
60,1517152941.2,68.0,0.25098039215686274,0.2,270.125,-16.0625,13.5625,0,0,0,0.0,-13.5,-59.0625,-30.875,0.164444444444,0.005555555555560001,0.12888888888900002,-0.65,1.31,0.67,139.67000007629395,4.640000104904175
61,1517152945.87,68.0,0.12549019607843137,0.1450980392156863,268.4375,-16.25,13.5,0,0,0,0.0,-14.5625,-56.0625,-29.5,0.04333333333330001,-0.0388888888889,-0.0333333333333,-1.57,0.0,0.95,144.3399999141693,4.669999837875366
62,1517152950.49,59.0,0.14901960784313725,0.16470588235294117,271.875,-16.9375,14.75,0,0,0,0.0,-13.1875,-54.5625,-28.6875,0.134444444444,-0.08333333333330001,-0.03,-1.84,0.01,-0.69,148.96000003814697,4.620000123977661
63,1517152955.15,43.0,0.20784313725490197,0.14901960784313725,276.25,-17.3125,16.0,0,0,0,0.0,-13.5625,-53.5625,-30.1875,-0.575555555556,-0.408888888889,0.24555555555599998,-0.81,0.41,0.54,153.62000012397766,4.6600000858306885
64,1517152959.8,34.0,0.23137254901960785,0.14901960784313725,264.375,-8.375,29.5,0,0,0,0.0,-2.25,-60.75,-32.1875,-0.0844444444444,0.011111111111099999,-0.00666666666667,-0.68,0.22,-0.27,158.2699999809265,4.6499998569488525
65,1517152964.48,21.0,0.28627450980392155,0.14901960784313725,266.0625,-15.25,22.8125,0,0,0,0.0,-18.25,-62.25,-34.25,0.0277777777778,-0.01,0.01,0.07,0.28,0.01,162.95000004768372,4.680000066757202
66,1517152969.11,5.0,0.30196078431372547,0.14901960784313725,265.25,-17.3125,21.125,0,0,0,0.0,-19.75,-65.375,-32.1875,-0.044444444444399996,-0.00777777777778,-0.0022222222222199996,1.15,-0.16,0.12,167.57999992370605,4.629999876022339
72,1517152997.13,5.0,0.5647058823529412,0.23921568627450981,266.125,-6.875,20.8125,0,0,0,0.0,-21.0625,-62.6875,-36.6875,-0.0333333333333,-0.023333333333299996,-0.0166666666667,0.36,-0.18,-0.36,195.60000014305115,28.020000219345093
73,1517153001.81,37.0,0.6901960784313725,0.2784313725490196,267.0,-1.5,20.4375,0,0,0,0.0,-20.1875,-63.875,-38.5625,-0.0011111111111099998,0.011111111111099999,0.008888888888889999,-0.66,-0.49,0.11,200.27999997138977,4.679999828338623
74,1517153006.5,56.0,0.5450980392156862,0.2196078431372549,264.625,-1.125,20.5625,0,0,0,0.0,-21.0625,-59.875,-35.5,-0.0277777777778,-0.0311111111111,0.036666666666699994,-1.2,1.21,-0.45,204.97000002861023,4.690000057220459
